;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Gender;Dependents;Self_Employed;Credit_History;Total_income;log_LoanAmount;Amauntxterm;Property_Area;Edu_Ma
ApplicantIncome;1;-0.320055658;0.501754764;-0.040291866;0.074391407;0.140666938;0.197865508;0.03718031;0.705376715;0.501754764;0.292217612;0.005084275;0.164975702
CoapplicantIncome;-0.320055658;1;0.238332078;-0.012434891;0.207607155;-0.037838047;-0.064543826;0.001270808;0.323799239;0.238332078;0.116126349;-0.018597912;0.159297749
LoanAmount;0.501754764;0.238332078;1;0.038514904;0.153978272;0.148380177;0.11121962;0.001984061;0.686762792;1;-0.246589784;0.004886471;0.236167019
Loan_Amount_Term;-0.040291866;-0.012434891;0.038514904;1;-0.086479989;-0.121600685;-0.04144895;0.007092842;-0.057710946;0.038514904;-0.204463239;0.056261993;-0.019085741
Gender;0.074391407;0.207607155;0.153978272;-0.086479989;1;0.168293357;-0.000524988;0.009169852;0.205137663;0.153978272;0.07848352;-0.108622671;0.175402939
Dependents;0.140666938;-0.037838047;0.148380177;-0.121600685;0.168293357;1;0.072551532;-0.031723267;0.086186675;0.148380177;-0.047397963;0.002590393;0.149610189
Self_Employed;0.197865508;-0.064543826;0.11121962;-0.04144895;-0.000524988;0.072551532;1;-0.00155046;0.191206185;0.11121962;0.065234487;0.008709558;0.020509011
Credit_History;0.03718031;0.001270808;0.001984061;0.007092842;0.009169852;-0.031723267;-0.00155046;1;0.022903187;0.001984061;0.027235832;0.035975839;0.084599063
Total_income;0.705376715;0.323799239;0.686762792;-0.057710946;0.205137663;0.086186675;0.191206185;0.022903187;1;0.686762792;0.420345883;-0.023612906;0.264078527
log_LoanAmount;0.501754764;0.238332078;1;0.038514904;0.153978272;0.148380177;0.11121962;0.001984061;0.686762792;1;-0.246589784;0.004886471;0.236167019
Amauntxterm;0.292217612;0.116126349;-0.246589784;-0.204463239;0.07848352;-0.047397963;0.065234487;0.027235832;0.420345883;-0.246589784;1;-0.097983015;0.040509471
Property_Area;0.005084275;-0.018597912;0.004886471;0.056261993;-0.108622671;0.002590393;0.008709558;0.035975839;-0.023612906;0.004886471;-0.097983015;1;0.042965385
Edu_Ma;0.164975702;0.159297749;0.236167019;-0.019085741;0.175402939;0.149610189;0.020509011;0.084599063;0.264078527;0.236167019;0.040509471;0.042965385;1
