"Country","Area","GDP","Inflation","Life.expect","Military","Pop.growth","Unemployment","PC1","PC2","PC3"
"Austria",83871,41600,3.5,79.91,0.8,0.03,4.2,-1.06225511578594,1.24716549587579,0.505526710003408
"Belgium",30528,37800,3.5,79.65,1.3,0.06,7.2,-0.668821098192862,0.408543926218724,0.674907273039797
"Bulgaria",110879,13800,4.2,73.84,2.6,-0.8,9.6,2.56285012090898,-0.264779264384999,0.611804372974811
"Croatia",56594,18000,2.3,75.99,2.39,-0.09,17.7,1.24726140910834,-1.86716407635455,0.816933914476755
"Czech Republic",78867,27100,1.9,77.38,1.15,-0.13,8.5,-0.164196463330771,0.129565922355037,0.983923373973064
"Denmark",43094,37000,2.8,78.78,1.3,0.24,6.1,-0.937978742331534,0.402246646351697,0.719118295943683
"Estonia",45228,20400,5,73.58,2,-0.65,12.5,2.44290748842205,0.0842331894349976,0.969742623182188
"Finland",338145,36000,3.3,79.41,2,0.07,7.8,-0.206768914843775,0.0331097749317331,-1.1532751547769
"Germany",357022,38100,2.5,80.19,1.5,-0.2,6,-0.581719019086679,0.463329760662012,-0.974374756516822
"Greece",131957,26300,3.3,80.05,4.3,0.06,17.4,0.982443958576395,-3.34545942908179,-0.72478451794364
"Hungary",93028,19600,3.9,75.02,1.75,-0.18,10.9,1.37172691210412,0.0336142340333225,0.682710954393684
"Iceland",103000,38100,4,81,0,0.67,7.4,-1.55518187488503,1.45064395981511,0.301220656579512
"Ireland",70273,40800,2.6,80.32,0.9,1.11,14.4,-1.77632183101448,-0.512404919048768,0.296180001353899
"Italy",301340,30500,2.9,81.86,1.8,0.38,8.4,-0.837849298376678,-0.321892280016603,-1.09440392173352
"Latvia",64589,16800,4.4,72.93,1.1,-0.6,12.8,2.26450538505927,0.663178957572082,1.27806193982354
"Lithuania",65300,19100,4.1,75.55,0.9,-0.28,15.4,1.50252828390073,0.1914831700199,1.05742961289067
"Luxembourg",2586,80600,3.4,79.75,0.9,1.14,5.7,-3.41575531908845,1.05689283059544,0.354807769815331
"Netherlands",41543,42000,2.3,80.91,1.6,0.45,4.4,-1.80689657389695,0.0561980957408594,0.445577590075977
"Norway",323802,53400,1.3,80.32,1.9,0.33,3.3,-2.06855257440911,0.141368880985423,-1.01680474282021
"Poland",312685,20200,4.2,76.25,1.9,-0.08,12.4,1.44525320806399,-0.0716699251283689,-0.728549870096938
"Portugal",92090,23400,3.7,78.7,2.3,0.18,12.7,0.517006191493964,-1.01612794846456,0.125353834142047
"Slovakia",49035,23300,3.9,76.03,1.08,0.1,13.2,0.768857320511882,0.169155742647624,0.934265053824974
"Slovenia",20273,28800,1.8,77.48,1.7,-0.19,11.8,0.0663262779393236,-0.783298411306156,1.15046763116061
"Spain",505370,30500,3.1,81.27,1.2,0.65,21.7,-0.160815959157799,-1.13130635173399,-2.09141828909365
"Sweden",450295,40700,3,81.18,1.5,0.17,7.5,-0.869156159889968,0.395621019739559,-1.76365776066538
"Switzerland",41277,44500,0.2,81.17,1,0.92,2.8,-3.22245360746065,0.106276524782065,0.739497062503417
"Ukraine",603550,7200,8,68.74,1.4,-0.63,7.9,4.49773395410566,2.77806408269482,-1.85892313282938
"United Kingdom",243610,36500,4.5,80.17,2.7,0.55,8.1,-0.334677958444023,-0.496589608936402,-1.24133652368093
